"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 16일","1,962.10","1,961.50","1,962.50","1,961.30","-","0.03%"
"2020년 09월 15일","1,961.55","1,966.15","1,981.75","1,956.00","-","-0.11%"
"2020년 09월 14일","1,963.70","1,948.90","1,972.50","1,945.20","200.09K","0.81%"
"2020년 09월 11일","1,947.90","1,953.80","1,963.40","1,944.00","205.23K","-0.83%"
"2020년 09월 10일","1,964.30","1,955.30","1,975.20","1,948.60","271.48K","0.48%"
"2020년 09월 09일","1,954.90","1,939.40","1,959.70","1,926.30","227.18K","0.60%"
"2020년 09월 08일","1,943.20","1,938.00","1,948.30","1,911.70","416.01K","0.31%"
"2020년 09월 07일","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"2020년 09월 06일","1,940.65","1,941.90","1,944.30","1,937.65","-","0.33%"
"2020년 09월 04일","1,934.30","1,938.00","1,956.60","1,921.60","304.74K","-0.18%"
"2020년 09월 03일","1,937.80","1,948.90","1,956.60","1,927.20","303.03K","-0.35%"
"2020년 09월 02일","1,944.70","1,976.80","1,980.40","1,938.90","332.59K","-1.73%"
"2020년 09월 01일","1,978.90","1,973.70","2,001.20","1,969.20","304.89K","0.02%"
"2020년 08월 31일","1,978.60","1,973.90","1,985.80","1,962.30","245.11K","0.19%"
"2020년 08월 28일","1,974.90","1,937.50","1,983.00","1,928.20","334.10K","2.19%"
"2020년 08월 27일","1,932.60","1,963.00","1,987.00","1,914.70","467.17K","-1.02%"
"2020년 08월 26일","1,952.50","1,939.00","1,963.40","1,908.40","342.21K","1.53%"
"2020년 08월 25일","1,923.10","1,935.90","1,944.10","1,919.10","274.11K","-0.83%"
"2020년 08월 24일","1,939.20","1,947.90","1,970.30","1,930.80","286.26K","-0.40%"
"2020년 08월 21일","1,947.00","1,955.60","1,963.10","1,916.60","355.07K","0.03%"
"2020년 08월 20일","1,946.50","1,934.40","1,963.10","1,928.90","383.34K","-1.21%"
"2020년 08월 19일","1,970.30","2,010.50","2,015.60","1,930.50","443.26K","-2.13%"
"2020년 08월 18일","2,013.10","1,993.60","2,024.60","1,985.20","361.48K","0.72%"
