"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 16일","11,422.12","11,421.75","11,422.50","11,413.00","-","0.01%"
"2020년 09월 15일","11,421.38","11,283.88","11,481.50","11,233.62","-","1.25%"
"2020년 09월 14일","11,280.50","11,104.00","11,362.75","11,104.00","322.36K","1.98%"
"2020년 09월 11일","11,061.50","11,187.00","11,356.25","10,937.50","495.80K","-1.04%"
"2020년 09월 10일","11,178.25","11,377.75","11,566.75","11,088.00","885.27K","-1.88%"
"2020년 09월 09일","11,392.75","11,006.00","11,478.75","10,935.25","720.95K","3.00%"
"2020년 09월 08일","11,060.50","11,531.00","11,585.00","11,040.50","1.01M","-4.32%"
"2020년 09월 07일","11,560.00","11,419.62","11,584.62","11,372.38","-","1.24%"
"2020년 09월 06일","11,418.62","11,538.88","11,546.25","11,309.00","-","-1.13%"
"2020년 09월 04일","11,548.75","11,745.00","11,843.00","11,142.00","1.20M","-2.13%"
"2020년 09월 03일","11,800.50","12,408.50","12,438.75","11,658.50","931.58K","-4.92%"
"2020년 09월 02일","12,411.50","12,325.50","12,465.25","12,172.25","725.40K","0.80%"
"2020년 09월 01일","12,312.50","12,109.75","12,328.75","12,093.00","519.00K","1.64%"
"2020년 08월 31일","12,114.00","12,002.75","12,165.00","11,988.25","480.98K","1.02%"
"2020년 08월 28일","11,991.75","11,953.25","12,018.25","11,920.50","489.07K","0.33%"
"2020년 08월 27일","11,952.75","11,984.50","12,046.00","11,834.75","709.35K","-0.32%"
"2020년 08월 26일","11,991.25","11,739.50","12,001.50","11,726.75","578.80K","2.26%"
"2020년 08월 25일","11,726.25","11,636.00","11,742.25","11,574.75","495.89K","0.77%"
"2020년 08월 24일","11,636.25","11,581.00","11,722.50","11,528.25","617.00K","0.64%"
"2020년 08월 21일","11,562.00","11,480.00","11,573.50","11,407.00","414.23K","0.74%"
"2020년 08월 20일","11,477.25","11,327.00","11,496.50","11,221.50","401.14K","1.28%"
"2020년 08월 19일","11,332.00","11,414.25","11,438.00","11,299.00","410.89K","-0.68%"
"2020년 08월 18일","11,409.25","11,285.50","11,415.25","11,268.00","326.82K","1.09%"
"2020년 08월 17일","11,286.75","11,145.00","11,300.50","11,142.25","246.40K","1.37%"
"2020년 08월 14일","11,133.75","11,180.50","11,237.75","11,096.00","398.62K","-0.37%"
"2020년 08월 13일","11,175.25","11,115.50","11,266.00","11,094.25","413.66K","0.44%"
"2020년 08월 12일","11,126.00","10,928.50","11,185.75","10,878.50","434.24K","2.28%"
"2020년 08월 11일","10,878.50","11,072.25","11,157.75","10,845.50","561.75K","-1.75%"
"2020년 08월 10일","11,072.00","11,140.25","11,156.50","10,928.25","485.73K","-0.46%"
"2020년 08월 07일","11,122.75","11,260.50","11,283.25","11,035.25","532.55K","-1.23%"
"2020년 08월 06일","11,261.25","11,094.00","11,271.75","11,051.25","420.44K","1.53%"
"2020년 08월 05일","11,091.75","11,080.50","11,144.00","11,055.75","348.82K","0.05%"
"2020년 08월 04일","11,086.00","11,054.00","11,094.75","10,983.00","395.70K","0.38%"
"2020년 08월 03일","11,044.25","10,933.25","11,073.00","10,876.25","389.62K","1.41%"
"2020년 07월 31일","10,890.50","10,906.50","10,939.00","10,691.00","631.55K","0.89%"
"2020년 07월 30일","10,794.00","10,700.00","10,897.25","10,502.75","521.16K","1.12%"
"2020년 07월 29일","10,674.25","10,558.00","10,699.75","10,512.25","368.01K","1.27%"
"2020년 07월 28일","10,540.00","10,682.50","10,758.50","10,514.00","445.25K","-1.27%"
"2020년 07월 27일","10,675.25","10,490.00","10,684.00","10,401.00","444.80K","2.07%"
"2020년 07월 24일","10,459.00","10,565.50","10,597.00","10,301.00","652.48K","-0.85%"
"2020년 07월 23일","10,548.25","10,850.00","10,938.50","10,514.50","644.19K","-2.37%"
"2020년 07월 22일","10,804.25","10,850.75","10,916.25","10,761.25","483.85K","-0.43%"
"2020년 07월 21일","10,851.00","10,952.25","11,058.00","10,784.75","587.99K","-0.91%"
"2020년 07월 20일","10,951.00","10,621.25","10,964.50","10,546.25","496.40K","3.09%"
"2020년 07월 17일","10,622.50","10,532.25","10,669.75","10,523.75","443.14K","1.05%"
"2020년 07월 16일","10,511.75","10,693.00","10,698.25","10,475.50","628.90K","-1.61%"
"2020년 07월 15일","10,683.25","10,706.00","10,766.50","10,551.25","719.95K","0.35%"
"2020년 07월 14일","10,646.25","10,602.00","10,693.00","10,358.75","915.01K","0.44%"
"2020년 07월 13일","10,600.00","10,848.25","11,058.50","10,561.50","736.18K","-2.19%"
"2020년 07월 10일","10,837.25","10,727.00","10,847.50","10,625.50","527.57K","1.02%"
"2020년 07월 09일","10,727.50","10,674.25","10,774.25","10,560.00","607.39K","0.61%"
"2020년 07월 08일","10,662.25","10,526.00","10,673.00","10,505.25","481.02K","1.23%"
"2020년 07월 07일","10,532.25","10,600.00","10,694.50","10,505.75","465.21K","-0.63%"
"2020년 07월 06일","10,598.50","10,347.25","10,614.50","10,341.50","486.37K","2.61%"
"2020년 07월 03일","10,328.88","10,348.00","10,389.25","10,310.25","-","-0.26%"
"2020년 07월 02일","10,355.75","10,258.50","10,422.25","10,246.50","404.76K","0.85%"
"2020년 07월 01일","10,268.75","10,141.00","10,310.00","10,076.00","402.79K","1.20%"
"2020년 06월 30일","10,147.25","9,983.00","10,171.50","9,940.25","422.35K","1.74%"
"2020년 06월 29일","9,973.75","9,785.50","9,997.00","9,728.75","479.54K","1.10%"
"2020년 06월 26일","9,865.50","10,087.00","10,120.50","9,824.25","576.15K","-2.21%"
"2020년 06월 25일","10,088.25","10,005.25","10,107.00","9,885.50","514.25K","0.77%"
"2020년 06월 24일","10,010.75","10,183.00","10,242.00","9,927.25","661.65K","-1.82%"
"2020년 06월 23일","10,196.00","10,121.50","10,296.25","9,972.25","406.48K","0.70%"
"2020년 06월 22일","10,124.75","9,868.00","10,134.50","9,843.50","354.77K","0.04%"
"2020년 06월 19일","10,120.84","9,997.25","10,123.25","9,997.25","4.46K","1.25%"
"2020년 06월 18일","9,995.75","9,995.25","10,040.75","9,879.50","67.46K","0.01%"
"2020년 06월 17일","9,994.50","9,961.75","10,059.00","9,927.00","100.47K","0.22%"
"2020년 06월 16일","9,972.50","9,812.50","10,013.75","9,797.75","216.31K","1.76%"
"2020년 06월 15일","9,800.50","9,536.75","9,815.50","9,381.75","319.21K","1.61%"
"2020년 06월 12일","9,645.00","9,616.00","9,849.25","9,494.75","508.84K","0.29%"
"2020년 06월 11일","9,616.75","10,086.25","10,107.00","9,584.50","828.94K","-4.66%"
"2020년 06월 10일","10,087.25","9,960.00","10,155.50","9,958.50","557.71K","1.37%"
"2020년 06월 09일","9,951.00","9,887.25","10,005.25","9,811.50","437.44K","0.67%"
"2020년 06월 08일","9,884.75","9,819.00","9,901.00","9,747.00","391.65K","0.78%"
"2020년 06월 05일","9,808.50","9,643.50","9,846.25","9,601.75","513.66K","1.89%"
"2020년 06월 04일","9,626.25","9,685.50","9,742.50","9,572.25","462.36K","-0.60%"
"2020년 06월 03일","9,684.75","9,657.50","9,728.25","9,635.50","376.69K","0.38%"
"2020년 06월 02일","9,647.75","9,590.00","9,670.00","9,504.75","389.91K","0.55%"
"2020년 06월 01일","9,595.00","9,513.00","9,605.75","9,450.25","345.59K","0.36%"
"2020년 05월 29일","9,560.25","9,453.50","9,590.50","9,372.00","529.70K","1.06%"
"2020년 05월 28일","9,460.25","9,436.50","9,565.50","9,320.50","510.62K","0.29%"
"2020년 05월 27일","9,432.50","9,409.00","9,508.00","9,172.50","560.52K","0.28%"
"2020년 05월 26일","9,406.50","9,396.25","9,604.00","9,373.00","486.55K","-1.08%"
"2020년 05월 25일","9,509.12","9,457.25","9,535.62","9,416.88","-","0.56%"
"2020년 05월 24일","9,456.12","9,419.25","9,462.62","9,393.00","-","0.53%"
"2020년 05월 22일","9,406.25","9,360.50","9,422.50","9,241.50","365.38K","0.54%"
"2020년 05월 21일","9,355.75","9,494.75","9,510.75","9,352.00","429.22K","-1.37%"
"2020년 05월 20일","9,485.50","9,289.75","9,498.00","9,273.00","369.92K","1.99%"
"2020년 05월 19일","9,300.75","9,316.25","9,417.25","9,283.75","392.50K","-0.27%"
"2020년 05월 18일","9,325.50","9,135.00","9,361.50","9,110.25","398.56K","2.52%"
"2020년 05월 15일","9,096.50","9,085.50","9,148.50","8,925.50","537.25K","0.19%"
"2020년 05월 14일","9,079.50","9,012.75","9,104.00","8,847.00","639.07K","0.97%"
