"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 15일","11,190.32","11,193.96","11,244.46","11,127.98","828.01M","1.21%"
"2020년 09월 14일","11,056.65","11,010.14","11,118.29","10,982.26","882.03M","1.87%"
"2020년 09월 11일","10,853.54","11,010.07","11,033.04","10,728.03","817.03M","-0.60%"
"2020년 09월 10일","10,919.59","11,235.53","11,299.53","10,875.02","898.02M","-1.99%"
"2020년 09월 09일","11,141.56","11,064.76","11,217.69","10,970.45","861.84M","2.71%"
"2020년 09월 08일","10,847.69","10,900.70","11,131.50","10,837.20","984.13M","-4.11%"
"2020년 09월 04일","11,313.13","11,396.24","11,531.18","10,875.87","1.02B","-1.27%"
"2020년 09월 03일","11,458.10","11,861.90","11,894.40","11,361.36","1.05B","-4.96%"
"2020년 09월 02일","12,056.44","12,047.26","12,074.07","11,836.18","903.54M","0.98%"
"2020년 09월 01일","11,939.67","11,849.27","11,945.24","11,795.62","810.77M","1.39%"
"2020년 08월 31일","11,775.46","11,718.81","11,829.84","11,697.42","940.53M","0.68%"
"2020년 08월 28일","11,695.63","11,689.28","11,708.77","11,634.77","694.25M","0.60%"
"2020년 08월 27일","11,625.34","11,688.20","11,730.01","11,551.01","773.52M","-0.34%"
"2020년 08월 26일","11,665.06","11,516.62","11,672.05","11,507.46","738.61M","1.73%"
"2020년 08월 25일","11,466.47","11,370.23","11,468.26","11,343.04","719.87M","0.76%"
"2020년 08월 24일","11,379.72","11,449.25","11,462.05","11,297.53","837.05M","0.60%"
"2020년 08월 21일","11,311.80","11,258.45","11,326.21","11,245.44","879.96M","0.42%"
"2020년 08월 20일","11,264.95","11,096.40","11,283.62","11,090.03","830.32M","1.06%"
"2020년 08월 19일","11,146.46","11,214.80","11,257.42","11,132.10","752.24M","-0.57%"
"2020년 08월 18일","11,210.84","11,170.75","11,230.62","11,103.83","736.48M","0.73%"
"2020년 08월 17일","11,129.72","11,083.25","11,144.53","11,080.30","741.24M","1.00%"
"2020년 08월 14일","11,019.30","11,042.24","11,058.44","10,972.06","729.02M","-0.21%"
"2020년 08월 13일","11,042.50","11,026.86","11,124.85","11,007.50","750.92M","0.27%"
"2020년 08월 12일","11,012.24","10,878.12","11,036.72","10,877.16","811.57M","2.13%"
"2020년 08월 11일","10,782.82","10,942.66","10,989.42","10,762.71","969.23M","-1.69%"
"2020년 08월 10일","10,968.36","11,033.72","11,040.24","10,849.46","894.84M","-0.39%"
