"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 16일","93.132","93.135","93.148","93.112","-","0.05%"
"2020년 09월 15일","93.085","93.070","93.185","92.790","18.64K","0.19%"
"2020년 09월 14일","92.912","93.250","93.300","92.910","3.15K","-0.44%"
"2020년 09월 11일","93.320","93.345","93.375","93.110","11.40K","-0.01%"
"2020년 09월 10일","93.331","93.270","93.450","92.700","21.15K","0.08%"
"2020년 09월 09일","93.258","93.535","93.665","93.125","24.80K","-0.20%"
"2020년 09월 08일","93.441","93.050","93.520","93.000","30.04K","0.78%"
"2020년 09월 07일","92.719","92.800","93.090","92.800","7.78K","0.00%"
"2020년 09월 04일","92.719","92.825","93.245","92.665","25.88K","-0.02%"
"2020년 09월 03일","92.733","92.705","93.085","92.685","20.74K","-0.11%"
"2020년 09월 02일","92.834","92.265","92.875","92.235","24.03K","0.55%"
"2020년 09월 01일","92.325","92.178","92.403","91.737","-","0.21%"
"2020년 08월 31일","92.131","92.300","92.490","91.990","29.09K","-0.27%"
"2020년 08월 28일","92.379","93.030","93.100","92.180","35.37K","-0.66%"
"2020년 08월 27일","92.991","92.835","93.350","92.385","46.98K","-0.01%"
"2020년 08월 26일","92.996","93.020","93.375","92.835","18.76K","-0.02%"
"2020년 08월 25일","93.019","93.270","93.350","92.960","16.29K","-0.29%"
"2020년 08월 24일","93.289","93.215","93.340","92.830","16.20K","0.05%"
"2020년 08월 21일","93.240","92.690","93.480","92.565","25.53K","0.50%"
"2020년 08월 20일","92.778","92.975","93.245","92.710","19.71K","-0.11%"
"2020년 08월 19일","92.880","92.210","93.065","92.145","21.58K","0.67%"
"2020년 08월 18일","92.259","92.820","92.820","92.110","21.71K","-0.63%"
"2020년 08월 17일","92.847","93.035","93.115","92.750","12.46K","-0.26%"
"2020년 08월 14일","93.085","93.245","93.410","92.995","15.38K","-0.25%"
"2020년 08월 13일","93.317","93.365","93.390","92.905","19.29K","-0.10%"
"2020년 08월 12일","93.408","93.655","93.895","93.210","20.59K","-0.21%"
"2020년 08월 11일","93.600","93.595","93.735","93.140","23.50K","0.03%"
"2020년 08월 10일","93.569","93.415","93.685","93.275","15.75K","0.17%"
"2020년 08월 07일","93.412","92.785","93.625","92.740","25.84K","0.69%"
"2020년 08월 06일","92.768","92.780","93.085","92.475","24.33K","-0.09%"
"2020년 08월 05일","92.850","93.145","93.235","92.535","20.13K","-0.57%"
"2020년 08월 04일","93.378","93.505","93.815","93.215","18.00K","-0.14%"
"2020년 08월 03일","93.507","93.390","93.980","93.295","24.99K","0.20%"
"2020년 07월 31일","93.321","92.775","93.525","92.510","28.57K","0.34%"
"2020년 07월 30일","93.009","93.305","93.640","92.890","26.95K","-0.45%"
"2020년 07월 29일","93.432","93.710","93.770","93.120","24.75K","-0.23%"
"2020년 07월 28일","93.647","93.490","93.965","93.450","23.58K","0.03%"
"2020년 07월 27일","93.615","94.345","94.375","93.420","23.56K","-0.81%"
"2020년 07월 24일","94.380","94.750","94.780","94.100","18.25K","-0.28%"
"2020년 07월 23일","94.649","94.955","95.150","94.540","17.88K","-0.30%"
"2020년 07월 22일","94.930","95.090","95.375","94.775","17.68K","-0.14%"
"2020년 07월 21일","95.060","95.700","95.870","94.980","24.68K","-0.74%"
"2020년 07월 20일","95.772","96.000","96.145","95.675","18.20K","-0.12%"
"2020년 07월 17일","95.889","96.260","96.295","95.845","11.60K","-0.45%"
"2020년 07월 16일","96.319","95.975","96.380","95.845","18.27K","0.29%"
"2020년 07월 15일","96.039","96.120","96.215","95.720","14.53K","-0.17%"
"2020년 07월 14일","96.207","96.520","96.670","96.125","12.97K","-0.21%"
"2020년 07월 13일","96.407","96.585","96.640","96.205","18.71K","-0.21%"
"2020년 07월 10일","96.614","96.745","96.960","96.395","16.73K","-0.06%"
"2020년 07월 09일","96.673","96.415","96.780","96.180","21.92K","0.32%"
"2020년 07월 08일","96.368","96.910","97.005","96.345","18.91K","-0.49%"
"2020년 07월 07일","96.839","96.700","97.105","96.555","16.29K","0.16%"
"2020년 07월 06일","96.682","97.190","97.190","96.500","20.09K","-0.64%"
"2020년 07월 03일","97.301","97.210","97.350","97.145","5.24K","0.00%"
"2020년 07월 02일","97.301","97.140","97.335","96.790","17.42K","0.15%"
"2020년 07월 01일","97.155","97.375","97.615","96.985","16.05K","-0.20%"
"2020년 06월 30일","97.349","97.390","97.810","97.185","18.34K","-0.16%"
"2020년 06월 29일","97.501","97.475","97.610","97.085","13.59K","0.10%"
